,City,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
Abu Dhabi,Cockburn Town,79,80,21.46,-71.14,82.4,21.85
Acapulco,Suntar,95,58,62.16,117.65,72.68,1.86
Adrar,Port Alfred,0,35,-33.59,26.89,66.0,5.01
Ahipara,Jacareacanga,17,68,-6.22,-57.76,77.8,1.41
Airai,Wucheng,60,99,29.09,119.57,86.0,2.21
Aitape,Trebinje,0,51,42.71,18.35,74.8,8.05
Akhaldaba,Tazovskiy,0,76,67.47,78.7,41.26,8.25
Aki,Bluff,47,66,-23.58,149.07,66.33,22.91
Aklavik,Tuatapere,64,82,-46.13,167.69,48.0,5.99
Albany,Marawi,95,86,8.0,124.29,77.0,3.0
Alice Springs,Saint George,0,60,39.45,22.34,74.82,3.13
Alofi,Hermanus,83,93,-34.42,19.24,51.44,13.0
Alta Floresta,Acapulco,20,74,16.86,-99.88,87.8,10.29
Ambon,Lompoc,1,60,34.64,-120.46,71.73,16.11
Amga,Kagadi,16,88,0.95,30.8,66.67,3.2
Anadyr,Nuuk,20,76,64.17,-51.74,47.26,9.17
Ancud,Port Macquarie,16,100,-31.43,152.91,57.52,4.7
Angoche,Atuona,0,74,-9.8,-139.03,80.84,13.35
Angol,Punta Arenas,40,74,-53.16,-70.91,28.22,13.87
Angola,Yarada,91,76,17.65,83.27,84.46,13.04
Araouane,Phalaborwa,0,58,-23.95,31.14,57.2,1.72
Arraial do Cabo,Chuy,61,70,-33.69,-53.46,51.79,11.25
Ashland,Rikitea,100,82,-23.12,-134.97,75.33,17.16
Asten,Nikolskoye,90,93,59.7,30.79,56.8,11.18
Aswan,Mataura,4,82,-46.19,168.86,48.0,5.99
Asyut,Dubuque,1,100,42.5,-90.66,70.09,6.93
Atambua,Mount Gambier,40,62,-37.83,140.78,57.2,17.22
Atasu,Pevek,100,95,69.7,170.27,34.63,11.72
Athens,Cape Town,75,93,-33.93,18.42,53.28,18.34
Atuona,Hithadhoo,100,69,-0.6,73.08,83.77,5.28
Avarua,Avarua,98,83,-21.21,-159.78,71.6,10.29
Avera,Hobart,75,66,-42.88,147.33,53.2,9.17
Baculin,Martan-Chu,0,88,43.06,45.56,69.8,5.79
Bahia Honda,Torbat-e Jam,0,23,35.24,60.63,72.47,8.97
Ballina,Kabwe,0,76,-14.44,28.44,52.45,5.64
Bambanglipuro,Kahului,20,55,20.89,-156.47,84.72,6.93
Bambous Virieux,Kurumkan,80,56,54.33,110.32,59.31,5.66
Bani,Port Elizabeth,1,43,39.31,-74.98,86.7,3.36
Banjar,Kodiak,1,62,39.95,-94.76,87.15,14.99
Barrow,Busselton,10,98,-33.64,115.35,38.68,21.18
Baruun-Urt,Tuktoyaktuk,40,81,69.44,-133.03,44.6,10.29
Basco,Sibu,75,94,2.29,111.83,75.07,4.7
Bassar,Hilo,90,74,19.71,-155.08,75.42,6.93
Batagay-Alyta,Codrington,90,93,-28.95,153.24,58.6,7.72
Bathsheba,Arraial do Cabo,32,90,-22.97,-42.02,72.94,5.86
Battle Creek,Puerto Varas,90,93,-41.32,-72.98,39.2,5.82
Bay Roberts,Zatoka,0,63,50.04,20.52,62.49,9.17
Bellevue,Connersville,1,55,39.64,-85.14,86.07,5.82
Beringovskiy,Provideniya,90,87,64.42,-173.23,51.8,2.24
Berlevag,Dikson,84,96,73.51,80.55,33.8,4.74
Bethel,Carnarvon,0,28,-30.97,22.13,46.31,14.85
Biak,Bethel,40,60,60.79,-161.76,69.8,3.36
Bilibino,Te Anau,37,77,-45.41,167.72,45.76,4.45
Bintulu,Nijar,0,73,36.97,-2.21,77.0,1.12
Bitlis,Vilhena,0,61,-12.74,-60.15,78.8,5.82
Black River,New Norfolk,75,66,-42.78,147.06,53.19,9.17
Bluff,Yellowknife,40,24,62.45,-114.38,62.31,10.29
Blythe,Thompson,75,35,55.74,-97.86,71.6,4.7
Boende,Pyshchug,0,95,58.89,45.71,43.7,5.26
Bollnas,Imeni Poliny Osipenko,99,47,52.42,136.49,67.77,3.8
Bonavista,Ciamis,79,90,-7.33,108.35,66.78,3.24
Borzya,Jamestown,0,61,-33.21,138.6,61.61,16.71
Bougouni,Japaratuba,20,65,-10.59,-36.94,80.6,10.29
Bouna,Celestun,38,80,20.87,-90.4,82.64,28.3
Brae,Lebu,40,93,8.96,38.73,57.2,0.94
Bredasdorp,Albany,40,37,42.65,-73.75,78.04,12.75
Brookhaven,Qaanaaq,21,52,77.48,-69.36,43.11,4.12
Buala,Saskylakh,100,39,71.97,114.09,58.1,7.85
Bubaque,Zeya,78,37,53.74,127.27,73.33,1.92
Buchanan,Raahe,0,43,64.68,24.47,48.33,12.75
Buin,Kieta,25,70,-6.22,155.63,84.13,6.26
Buraydah,Bredasdorp,45,54,-34.53,20.04,53.6,4.7
Burlington,Cabo San Lucas,75,49,22.89,-109.91,91.26,20.8
Burnie,Vostok,100,98,46.45,135.83,49.48,3.98
Busselton,Qasigiannguit,75,69,68.82,-51.19,39.2,13.87
Butaritari,Rjukan,34,86,59.88,8.59,51.51,14.0
Cabo San Lucas,Yaan,63,96,7.38,8.57,73.4,5.44
Camabatela,Kayerkan,75,81,69.35,87.76,44.6,8.95
Canutama,Coihaique,20,86,-45.58,-72.07,28.13,0.83
Cape Town,Boende,100,92,-0.28,20.88,68.8,3.0
Caravelas,Winchester,0,77,51.06,-1.31,58.3,12.75
Carballo,Sobolevo,89,91,54.43,31.9,54.63,16.67
Carnarvon,Biak,100,95,-0.91,122.88,65.47,4.94
Castro,Prykolotne,73,96,50.16,37.35,64.35,11.68
Cavalcante,Jiwani,0,84,25.05,61.74,85.14,8.32
Cayenne,Kavieng,100,76,-2.57,150.8,84.06,14.61
Cedar City,Luocheng,100,79,28.29,114.55,81.31,3.51
Celestun,Ushuaia,20,92,-54.81,-68.31,28.4,17.22
Champerico,Nanortalik,100,98,60.14,-45.24,38.11,3.4
Chapada dos Guimaraes,Marsh Harbour,62,68,26.54,-77.06,83.99,9.51
Chapais,Soyo,0,82,-6.13,12.37,72.83,14.03
Chavakkad,Manokwari,98,72,-0.87,134.08,78.48,3.62
Cherskiy,Claveria,97,86,8.61,124.89,77.0,3.0
Cheyenne,Faanui,67,81,-16.48,-151.75,79.06,13.73
Chiknayakanhalli,Barrow,100,58,-38.31,-60.23,48.94,17.69
Chimoio,Cheyenne,1,15,41.14,-104.82,84.24,9.17
Chino Valley,Pisco,90,30,-13.71,-76.2,67.37,6.93
Chipata,Castro,0,83,-42.48,-73.76,37.4,8.05
Chokurdakh,Airai,0,58,-8.93,125.41,72.67,3.04
Chongwe,Akhaldaba,0,64,41.68,44.66,75.2,9.17
Chunhuhub,Ilulissat,75,69,69.22,-51.1,39.2,13.87
Churapcha,Chokurdakh,0,38,70.62,147.9,60.5,11.34
Chuy,Gat,88,83,14.69,-16.54,77.0,5.82
Ciamis,Mackenzie,90,55,55.34,-123.09,64.4,6.93
Cidreira,Kutum,65,55,14.2,24.66,77.0,11.77
Claveria,Ambon,0,78,47.55,-2.56,81.07,11.41
Clinton,Wattegama,86,86,7.35,80.68,72.63,4.43
Clyde River,Tual,75,84,-5.67,132.75,78.34,18.16
Coahuayana,Do Gonbadan,0,26,30.36,50.8,82.4,2.57
Cockburn Town,Upernavik,54,83,72.79,-56.15,33.21,6.51
Codrington,Cayenne,0,83,4.94,-52.33,80.6,3.36
Codroipo,Beringovskiy,85,64,63.05,179.32,51.39,8.14
Coihaique,Champerico,75,58,16.38,-93.6,86.0,14.99
Colares,Constitucion,75,17,23.99,-104.67,82.4,11.41
College,Krasnyy Chikoy,100,97,50.36,108.75,53.17,8.08
Collie,Vaini,100,91,15.34,74.49,77.29,6.04
Collierville,Phan Thiet,83,87,10.93,108.1,77.54,7.31
Comodoro Rivadavia,Victoria Point,40,88,-27.58,153.3,61.97,16.11
Conde,Mahebourg,20,78,-20.41,57.7,73.2,11.41
Connersville,Ancud,0,64,-41.87,-73.83,37.4,8.05
Constantine,Ponta Delgada,20,77,37.73,-25.67,62.6,3.36
Constitucion,Ishigaki,40,94,24.34,124.16,82.4,12.75
Coquimbo,Victoria,90,83,5.28,115.24,78.64,13.11
Corning,Talnakh,75,81,69.49,88.39,44.6,8.95
Corrales,Omboue,1,81,-1.57,9.26,74.65,15.97
Creel,Ribeira Grande,38,73,38.52,-28.7,63.88,12.01
Dalianwan,Anadyr,40,76,64.73,177.51,51.4,17.9
Daoukro,Shahreza,0,22,32.01,51.87,67.84,2.08
Deogarh,Luderitz,0,93,-26.65,15.16,50.0,4.7
Deputatskiy,Buala,100,75,-8.15,159.59,83.03,9.08
Dikson,Petauke,0,71,-14.25,31.33,55.64,6.17
Dingle,Kapaa,75,70,22.08,-159.32,81.79,20.8
Djenne,Tasiilaq,100,93,65.61,-37.64,44.6,5.82
Do Gonbadan,Bathsheba,40,74,13.22,-59.52,82.4,19.46
Dubuque,Salinopolis,3,78,-0.61,-47.36,82.93,19.6
East London,Avera,40,43,33.19,-82.53,89.8,6.93
Egvekinot,Muros,0,87,42.77,-9.06,58.84,2.24
El Paraiso,Sala Consilina,0,77,40.4,15.6,61.7,2.77
Elk City,Burnie,61,90,-41.05,145.91,48.9,2.48
Elko,Tanout,0,25,14.97,8.88,92.88,5.75
Esperance,Coquimbo,75,76,-29.95,-71.34,53.6,6.93
Eyl,Nichinan,75,94,31.65,131.31,74.16,4.7
Faanui,Tarabuco,0,21,-19.18,-64.92,59.0,9.17
Faya,Vao,35,59,59.1,26.19,58.27,15.5
Finnsnes,Luwuk,100,95,-0.95,122.79,65.47,4.94
Flin Flon,Quelimane,0,82,-17.88,36.89,68.0,3.36
Fort Nelson,Macaubas,0,49,-13.02,-42.7,70.65,7.16
Fortuna,Dalianwan,0,61,39.03,121.69,77.0,2.24
Fukue,Camabatela,0,96,-8.19,15.37,55.53,0.94
Gambo,Lubao,34,64,-5.39,25.75,74.02,5.14
Gat,Hualmay,17,86,-11.1,-77.61,63.14,16.73
Genhe,Saint-Pierre,0,82,48.95,4.24,69.78,9.17
Georgetown,Yadrin,100,94,55.94,46.2,46.17,11.25
Geraldton,Ponta do Sol,9,64,-20.63,-46.0,66.37,7.49
Ghanzi,Vardo,75,65,39.62,-77.74,78.31,4.7
Gillette,Saint-Augustin,75,54,45.63,-73.98,78.8,10.29
Gladstone,Nemuro,100,82,43.32,145.57,48.83,12.82
Goderich,Ahipara,12,72,-35.17,173.16,57.89,12.01
Gorom-Gorom,Elk City,1,33,35.41,-99.4,92.52,16.11
Gorontalo,Salalah,75,88,17.01,54.1,82.4,10.29
Grand Gaube,Strelka,0,61,58.08,93.03,69.3,3.94
Gravelbourg,Fortuna,0,69,38.18,-1.13,75.96,8.05
Grenaa,Sao Filipe,0,86,14.9,-24.5,73.84,21.85
Grindavik,Rio Gallegos,20,92,-51.62,-69.22,26.6,11.41
Guane,Mount Pleasant,1,55,33.16,-94.97,89.62,4.76
Guerrero Negro,Vallenar,0,94,-28.58,-70.76,45.56,1.39
Ha Tinh,Sens,0,78,48.2,3.28,72.28,4.7
Hadishahr,Geraldton,40,38,49.72,-86.95,77.0,10.29
Hailey,Lagoa,0,56,37.14,-8.45,66.07,11.41
Half Moon Bay,Georgetown,75,88,6.8,-58.16,78.8,6.93
Hami,Angol,90,100,-37.8,-72.71,50.0,5.82
Hamilton,Bilibino,100,84,68.06,166.44,45.11,3.11
Harper,Klaksvik,100,100,62.23,-6.59,50.0,13.87
Hasaki,Bollnas,17,81,61.35,16.39,42.82,3.47
Hermanus,Constantine,0,60,36.36,6.61,69.8,2.57
Hilo,Kamenka,55,75,48.03,28.7,64.0,9.89
Hithadhoo,Mumford,96,95,5.26,-0.76,72.63,4.32
Hobart,Gambo,68,99,4.65,22.26,67.55,1.23
Hofn,Hofn,93,91,64.25,-15.21,46.3,3.6
Hohhot,Iqaluit,40,62,63.75,-68.52,50.99,8.05
Hoquiam,Oksfjord,75,70,70.24,22.35,41.5,14.99
Hovd,Narsaq,61,66,60.91,-46.05,53.6,6.93
Hualmay,Pita,100,99,11.06,-12.4,68.24,1.86
Huarmey,Tiksi,94,73,71.64,128.87,45.38,11.21
Huejuquilla el Alto,Angoche,0,97,-16.23,39.91,63.04,5.82
Husavik,Norman Wells,75,26,65.28,-126.83,71.6,8.05
Ibra,Mantua,0,74,45.16,10.79,83.34,4.7
Ihosy,Kaitangata,42,61,-46.28,169.85,45.0,8.01
Ilulissat,Bonavista,91,81,48.65,-53.11,46.99,3.0
Imeni Poliny Osipenko,Lavrentiya,100,94,65.58,-170.99,48.19,6.44
Indian Harbour Beach,Miraflores,0,20,-16.39,-71.52,62.6,6.93
Innisfail,Namibe,99,80,-15.19,12.15,64.19,13.29
Ippy,Mar del Plata,2,48,-46.43,-67.52,30.8,8.1
Iqaluit,Khatanga,67,63,71.98,102.47,61.47,4.59
Iralaya,Deogarh,100,82,21.53,84.72,78.35,5.39
Isangel,Nome,1,78,30.04,-94.42,79.72,5.82
Ishigaki,East London,0,25,-33.02,27.91,63.23,7.18
Itarema,Sucevita,0,63,47.78,25.72,65.34,11.41
Iwanai,Puerto Ayora,0,73,-0.74,-90.35,75.29,19.46
Ixtapa,Harper,1,45,30.3,-99.24,80.94,14.99
Jacareacanga,Udachnyy,75,77,66.42,112.4,60.8,6.71
Jadu,Tara,75,94,33.0,130.15,75.51,2.24
Jalu,Chongwe,1,71,-15.33,28.68,51.93,3.53
Jamestown,Umm Lajj,0,65,25.02,37.27,86.18,13.76
Japaratuba,Kruisfontein,0,19,-34.0,24.73,55.03,11.01
Jinchang,Butaritari,1,70,3.07,172.79,84.06,11.03
Jiuquan,Togur,99,91,58.36,82.83,55.46,4.72
Jiwani,Matara,97,85,-3.48,29.48,52.09,1.05
Juneau,Temyasovo,75,76,52.99,58.1,53.6,2.24
Kabwe,Saint-Philippe,75,42,45.36,-73.48,78.71,14.99
Kachiry,Gorom-Gorom,67,32,14.45,-0.24,93.15,13.91
Kadhan,Clyde River,20,49,70.47,-68.59,48.2,19.46
Kaeo,Kachiry,0,85,53.07,76.1,49.45,9.33
Kagadi,Tabas,0,11,33.6,56.92,89.6,2.24
Kahului,Ledyard,90,94,41.44,-72.02,77.31,6.93
Kaitangata,Souillac,0,65,45.6,-0.6,77.83,5.82
Kajaani,Egvekinot,100,95,66.32,-179.17,43.81,6.44
Kakhi,Half Moon Bay,1,46,37.46,-122.43,65.73,14.99
Kamenka,Sokyryany,19,74,48.45,27.42,64.0,11.01
Kamenskiy,Kadhan,54,76,24.48,68.99,82.67,18.37
Kanadey,Tambacounda,40,67,13.77,-13.67,95.0,16.11
Kapaa,Laguna,40,74,16.17,-88.94,86.0,6.93
Karatau,Port-Gentil,20,88,-0.72,8.78,75.2,4.7
Kardla,Lorengau,79,79,-2.02,147.27,82.84,9.89
Karratha,Roald,40,81,62.58,6.12,47.07,11.41
Katsuura,Alta Floresta,0,58,-9.87,-56.08,75.08,3.06
Kavaratti,Neiafu,40,74,-18.65,-173.98,78.8,6.93
Kavieng,Sabha,22,19,27.03,14.43,89.87,12.95
Kawalu,Codroipo,2,78,45.96,12.98,78.85,3.36
Kayerkan,Nola,82,94,3.52,16.05,68.83,1.59
Kenai,Margate,75,66,-43.03,147.26,53.17,9.17
Ketchikan,Seoul,40,83,37.57,126.98,73.85,2.24
Keti Bandar,Esperance,90,93,-33.86,121.89,42.8,17.22
Khandyga,Isangel,90,94,-19.55,169.27,73.4,17.92
Kharan,Chimoio,75,87,-19.11,33.48,60.8,1.32
Khatanga,Sioux Lookout,75,38,50.1,-91.92,79.23,11.41
Kholodnyy,Maldonado,0,66,-34.91,-54.96,51.8,8.05
Kieta,Hailey,5,21,43.52,-114.32,71.6,4.7
Killybegs,Uch,0,62,45.32,-0.93,81.32,6.93
Kimbe,Wanaka,18,73,-44.7,169.14,37.12,4.79
Klaksvik,Rizhao,95,79,35.43,119.46,74.72,4.79
Kloulklubed,Corning,1,51,42.14,-77.05,78.69,6.93
Kodiak,Longyearbyen,75,69,78.22,15.63,35.6,16.11
Kraslava,Ndjole,3,94,-0.18,10.76,69.64,2.51
Krasnyy Chikoy,Kimbe,65,71,-5.56,150.15,83.54,1.16
Kruisfontein,Innisfail,89,91,-17.52,146.03,66.99,7.0
Kudahuvadhoo,Indian Harbour Beach,1,79,28.15,-80.59,85.93,9.17
Kurumkan,Qaqortoq,61,66,60.72,-46.03,53.6,6.93
Kushima,Gravelbourg,94,59,49.88,-106.56,73.89,21.07
Kutum,Pangnirtung,75,52,66.15,-65.72,46.4,20.8
La Maddalena,Elko,1,16,40.83,-115.76,76.73,19.46
La Queue-en-Brie,Sur,0,63,22.57,59.53,84.85,14.67
La Ronge,Grindavik,90,100,63.84,-22.43,53.87,17.22
La Solana,Yar-Sale,71,60,66.83,70.83,50.0,7.7
Labytnangi,Torbay,90,93,47.66,-52.73,50.09,3.36
Lagoa,Asten,0,82,51.4,5.74,58.48,9.17
Laguna,Faya,0,9,18.39,42.45,76.06,3.36
Lasa,Moose Factory,40,41,51.26,-80.61,75.2,10.29
Lavrentiya,Collie,7,98,-33.36,116.15,39.0,1.54
Le Port,Kamenskiy,87,66,50.89,45.49,62.41,8.75
Lebu,Canutama,16,71,-6.53,-64.38,78.32,1.63
Ledyard,Sitka,12,47,37.17,-99.65,91.99,17.0
Leh,Thanh Hoa,40,100,10.21,106.33,78.8,2.24
Leningradskiy,Manitouwadge,25,44,49.12,-85.84,75.62,3.94
Lisburn,Kenai,1,52,60.55,-151.26,71.53,6.93
Liverpool,Bintulu,75,94,3.17,113.03,75.07,6.93
Loknya,Flin Flon,75,40,54.77,-101.88,71.6,10.29
Lompoc,Teguldet,2,68,57.31,88.17,68.89,6.67
Longyearbyen,College,90,37,64.86,-147.8,72.97,2.08
Lorengau,Yeppoon,93,72,-23.13,150.74,66.2,10.29
Lubao,Pemba,20,83,-12.97,40.52,69.8,10.29
Luderitz,Pathein,100,86,16.78,94.73,80.69,12.93
Ludwigslust,Djenne,97,37,13.91,-4.55,90.67,7.11
Luocheng,La Queue-en-Brie,0,56,48.79,2.58,71.74,14.99
Luwuk,Itarema,1,85,-2.92,-39.92,76.0,6.6
Mabaruma,Kavaratti,44,75,10.57,72.64,83.2,16.35
Macaubas,Fukue,75,88,35.03,136.69,76.39,6.93
Mackay,Collierville,75,69,35.04,-89.66,79.59,3.69
Mackenzie,Tuy Hoa,86,64,13.08,109.3,81.95,14.99
Magadan,Bellevue,1,63,50.05,10.19,62.24,3.36
Mahebourg,Wheatley,1,35,42.09,-82.46,83.79,8.05
Mahibadhoo,Sao Bernardo,7,92,-3.36,-42.42,74.18,3.65
Maicao,Severo-Kurilsk,100,88,50.68,156.12,41.99,9.82
